# SH0ES Cepheid data (Riess et al. 2022)
# Columns: galaxy, period[days], W_H[mag], W_H_err[mag], metallicity[dex]
galaxy	period	W_H	W_H_err	metallicity
M101	6.8535	23.6774	0.4387	0.0525404
M101	6.8735	22.9405	0.6217	0.0890804
M101	6.9634	23.5218	0.7422	0.0886804
M101	7.2492	23.4408	0.4493	0.0834404
M101	7.2711	23.7346	0.6494	0.11477
M101	7.5459	23.8578	0.4638	0.0821204
M101	7.5649	23.6936	0.6005	0.0847604
M101	8.1664	23.6430	0.4729	0.0858404
M101	8.2634	23.8966	0.3750	0.0815004
M101	8.7610	23.6448	0.5698	0.0986104
M101	9.1586	23.3437	0.5501	0.0765804
M101	9.2606	23.2858	0.5514	0.0995204
M101	9.2666	23.0868	0.3322	0.0803804
M101	9.6442	23.3856	0.4432	0.0822004
M101	9.6752	23.5152	0.5451	0.10191
M101	9.6832	23.4290	0.5188	0.0806104
M101	9.9650	23.4654	0.5424	0.0948704
M101	10.0100	23.9913	0.6862	0.10272
M101	10.1558	23.0528	0.6888	0.0854904
M101	10.2498	22.9164	0.3012	0.0342404
M101	10.2508	23.3033	0.4977	0.0893104
M101	10.3787	23.2454	0.3260	0.0790704
M101	10.4696	22.6119	0.5454	0.10883
M101	10.6774	22.8072	0.4586	0.11444
M101	10.7823	22.4030	0.4302	0.0930004
M101	10.8643	23.1914	0.3713	0.0850204
M101	10.9472	22.9639	0.4869	0.10701
M101	11.2739	23.4176	0.5564	0.13889
M101	11.3539	23.5255	0.5359	0.10886
M101	11.4598	23.4182	0.5651	0.12679
M101	11.4678	22.9767	0.5355	0.10907
M101	11.4808	22.2204	0.5499	0.0916604
M101	11.4898	22.7085	0.5231	0.0966704
M101	11.5487	22.8035	0.2516	0.0705704
M101	11.6556	23.1734	0.2426	0.0501004
M101	11.6566	22.9182	0.2342	0.0475104
M101	11.6766	23.1471	0.4561	0.0720604
M101	11.6926	23.3773	0.5707	0.11227
M101	11.7406	22.7250	0.6109	0.0906604
M101	11.7496	23.5297	0.4479	0.11342
M101	11.8505	23.6035	0.3417	0.0935004
M101	11.8505	22.6174	0.3075	0.0781304
M101	11.8665	22.8172	0.5729	0.10809
M101	11.8904	22.3125	0.3905	0.10504
M101	12.0583	22.7934	0.5883	0.12255
M101	12.1402	23.1937	0.5630	0.11442
M101	12.2002	22.7659	0.3521	0.0822604
M101	12.3431	23.3071	0.5375	0.1294
M101	12.4680	23.6792	0.5022	0.13952
M101	12.5449	23.0538	0.4472	0.11513
M101	12.5509	22.3051	0.5074	0.10625
M101	12.8846	22.0504	0.4393	0.11649
M101	12.8996	22.8729	0.5954	0.11466
M101	12.9716	22.2739	0.5009	0.11127
M101	12.9906	23.3535	0.3663	0.0965204
M101	13.1884	22.5414	0.4002	0.0786704
M101	13.1974	23.4538	0.4426	0.10206
M101	13.3793	23.1729	0.4115	0.0912804
M101	13.5101	22.9131	0.5572	0.10452
M101	13.5731	22.5300	0.4567	0.139
M101	13.9898	23.1614	0.3891	0.0935304
M101	13.9908	22.6085	0.6167	0.10928
M101	14.4154	23.2445	0.3835	0.10313
M101	14.4754	22.8206	0.5204	0.0805504
M101	14.6462	22.6114	0.4283	0.0950704
M101	14.8141	22.6952	0.3405	0.0967004
M101	14.9110	22.5930	0.3584	0.0719004
M101	14.9820	22.7047	0.4164	0.11571
M101	15.0849	22.6958	0.4229	0.11005
M101	15.2318	22.7644	0.3908	0.10453
M101	15.2987	22.4252	0.2462	0.0503804
M101	15.3626	23.2594	0.4106	0.11956
M101	15.4706	22.0962	0.5069	0.10593
M101	15.5075	22.5893	0.3088	0.0897504
M101	15.5485	22.8558	0.5481	0.11529
M101	15.5865	22.7982	0.5091	0.10117
